binarize,average,distribution,sample_size,stat,pvalue
True,True,diff_mean,80.0,0.2912327620164085,0.0001
True,True,diff_mean,80.0,0.38159094298444357,0.0001
True,True,diff_mean,80.0,0.3209256810423609,0.0001
True,True,diff_mean,80.0,0.38472159382698906,0.0001
True,True,diff_mean,80.0,0.3312247492957303,0.0001
True,True,diff_mean,80.0,0.24862350071279668,0.0001
True,True,diff_mean,80.0,0.400820111506676,0.0001
True,True,diff_mean,80.0,0.4377063943882313,0.0001
True,True,diff_mean,80.0,0.34626818924939395,0.0001
True,True,diff_mean,80.0,0.3150438242767128,0.0001
True,True,diff_mean,80.0,0.38596114164349116,0.0001
True,True,diff_mean,80.0,0.4893526713714898,0.0001
True,True,diff_mean,80.0,0.344489764054197,0.0001
True,True,diff_mean,80.0,0.37559363692632614,0.0001
True,True,diff_mean,80.0,0.3834829614482423,0.0001
True,True,diff_mean,80.0,0.39651621208406834,0.0001
True,True,diff_mean,80.0,0.5663418918682153,0.0001
True,True,diff_mean,80.0,0.14613991138531557,0.0004
True,True,diff_mean,90.0,0.3320391109831219,0.0001
True,True,diff_mean,90.0,0.49467946652617395,0.0001
True,True,diff_mean,90.0,0.2744885823535996,0.0001
True,True,diff_mean,90.0,0.2629963172535179,0.0001
True,True,diff_mean,90.0,0.24664619767895035,0.0001
True,True,diff_mean,90.0,0.35518348258758087,0.0001
True,True,diff_mean,90.0,0.31111173597676584,0.0001
True,True,diff_mean,90.0,0.58427684179652,0.0001
True,True,diff_mean,90.0,0.2174120412582183,0.0001
True,True,diff_mean,90.0,0.2937139817475774,0.0001
True,True,diff_mean,90.0,0.3622829859686529,0.0001
True,True,diff_mean,90.0,0.3974886505618023,0.0001
True,True,diff_mean,90.0,0.4116416242886098,0.0001
True,True,diff_mean,90.0,0.4621802685924549,0.0001
True,True,diff_mean,90.0,0.3827539322417927,0.0001
True,True,diff_mean,90.0,0.5129571435977254,0.0001
True,True,diff_mean,90.0,0.4288962186885625,0.0001
True,True,diff_mean,90.0,0.27876276785963283,0.0001
True,True,diff_mean,90.0,0.5168986789564811,0.0001
True,True,diff_mean,90.0,0.2908451018732015,0.0001
True,True,diff_mean,90.0,0.23283566489371713,0.0001
True,True,diff_mean,90.0,0.41025089992578745,0.0001
True,True,diff_mean,90.0,0.3639557210411171,0.0001
True,True,diff_mean,90.0,0.4512138010217688,0.0001
True,True,diff_mean,90.0,0.4449327581940735,0.0001
True,True,diff_mean,90.0,0.1601233070243347,0.0001
True,True,diff_mean,90.0,0.38838966210917014,0.0001
True,True,diff_mean,90.0,0.3245121225001368,0.0001
True,True,diff_mean,90.0,0.37695353953738525,0.0001
True,True,diff_mean,90.0,0.2635308268266086,0.0001
True,True,diff_mean,90.0,0.39025750320210617,0.0001
True,True,diff_mean,90.0,0.3964554138746659,0.0001
True,True,diff_mean,90.0,0.363913320818016,0.0001
True,True,diff_mean,90.0,0.42244239550441093,0.0001
True,True,diff_mean,90.0,0.3737171939184255,0.0001
True,True,diff_mean,90.0,0.30796202132712447,0.0001
True,True,diff_mean,90.0,0.21325419181401228,0.0001
True,True,diff_mean,90.0,0.2985024347023895,0.0001
True,True,diff_mean,90.0,0.3342556202392853,0.0001
True,True,diff_mean,90.0,0.3539060685466506,0.0001
True,True,diff_mean,90.0,0.41713240128448914,0.0001
True,True,diff_mean,90.0,0.2968376164574821,0.0001
True,True,diff_mean,90.0,0.37984089718243763,0.0001
True,True,diff_mean,90.0,0.19633426257938105,0.0001
True,True,diff_mean,90.0,0.33571220538480406,0.0001
True,True,diff_mean,90.0,0.2783607868833203,0.0001
True,True,diff_mean,90.0,0.3766831099344741,0.0001
True,True,diff_mean,90.0,0.3106632620236738,0.0001
True,True,diff_mean,90.0,0.2314776067764134,0.0001
True,True,diff_mean,90.0,0.30957165183139,0.0001
True,True,diff_mean,100.0,0.43074702898490064,0.0001
True,True,diff_mean,100.0,0.4260945730010513,0.0001
True,True,diff_mean,100.0,0.26179800904612494,0.0001
True,True,diff_mean,100.0,0.4500392343556298,0.0001
True,True,diff_mean,100.0,0.3969177363243452,0.0001
True,True,diff_mean,100.0,0.3556263383130567,0.0001
True,True,diff_mean,100.0,0.36655666411441745,0.0001
True,True,diff_mean,100.0,0.31314563748863267,0.0001
True,True,diff_mean,100.0,0.30453851474060895,0.0001
True,True,diff_mean,100.0,0.4951115814909989,0.0001
True,True,diff_mean,100.0,0.5631525627189577,0.0001
True,True,diff_mean,100.0,0.5102098059413857,0.0001
True,True,diff_mean,100.0,0.40483311462810945,0.0001
True,True,diff_mean,100.0,0.39897860173248023,0.0001
True,True,diff_mean,100.0,0.4365751469142976,0.0001
True,True,diff_mean,100.0,0.40791392280733185,0.0001
True,True,diff_mean,100.0,0.3216361678648324,0.0001
True,True,diff_mean,100.0,0.3262396551027284,0.0001
True,True,diff_mean,100.0,0.4227655226787832,0.0001
True,True,diff_mean,100.0,0.40354468259514054,0.0001
True,True,diff_mean,100.0,0.27000029005453946,0.0001
True,True,diff_mean,100.0,0.45489260844776086,0.0001
